Name_Station,Latitude_Station,Longitude_Station,Number_Of_Bikes,Venue_Name,Venue_Address,Venue_Distance,Venue_Phone,Venue_Rating,Venue_Price,Venue_Review_Count,Venue_URL,Venue_Subcategory,Venue_Category
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Dainobu,1,1231.6165705602575,1,4.1,2,142,1.0,International Grocery,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Teuscher,1,1048.4123684173048,1,4.1,3,156,1.0,Chocolatiers & Shops,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Grand Central Market,1,903.9923226514076,0,4.1,3,280,1.0,Specialty Food,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Li-Lac Chocolates - Grand Central Market,1,932.4558563788344,1,4.0,3,45,1.0,Chocolatiers & Shops,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Fruit & Vegetable Stand,1,918.9725937891964,0,4.3,1,4,0.0,Fruits & Veggies,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Katagiri Japanese Grocery Store,1,626.986081844432,1,4.0,2,211,1.0,International Grocery,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Sussex Wines & Spirits,1,800.4419703737295,1,3.8,2,60,1.0,"Beer, Wine & Spirits",supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Dainobu,1,622.3640263094843,1,3.7,1,224,1.0,Japanese,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,The Amish Market,1,605.7099432292678,1,3.7,2,242,1.0,Grocery,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,The OJ Gallery,1,497.1711804718752,1,5.0,2,40,1.0,Art Galleries,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Decor Art Gallery,1,1258.885339858446,1,4.9,2,95,1.0,Art Galleries,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Galleria On Third,1,342.4073396524171,1,4.7,2,62,1.0,Art Galleries,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,City Gallery Framing,1,456.6612162236332,1,4.5,2,28,1.0,Art Galleries,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Tomi Jazz,1,274.46444721781745,1,4.4,2,806,1.0,Japanese,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Phillips Art Auction,1,838.3294529614866,1,4.5,4,4,1.0,Art Galleries,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Argosy Book Store,1,855.1788020592069,1,4.2,3,74,1.0,Antiques,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Pace Gallery,1,907.0690927487408,1,4.7,1,3,1.0,Art Galleries,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Estate Silver Company,1,320.5360846278859,1,5.0,2,1,1.0,Antiques,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Wally Findlay Galleries International,1,1111.5165025700253,1,4.3,4,3,1.0,Art Galleries,museum
